지자체,지역구,지점명,도로명,발생건수,사망자수,보 기,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK
서울,구로구,경인중 삼거리(서쪽),,6,0,,1,0,0,0
서울,구로구,오금교 남단 사거리,,6,0,,1,0,0,1
서울,구로구,한신휴아파트 사거리(105동),,8,0,,0,2,0,0
서울,구로구,미성아파트 사거리(1동 북서),,7,0,,0,0,0,0
서울,구로구,구로리어린이공원 사거리(북쪽),,7,0,,1,0,0,0
서울,구로구,오남중 부근 사거리(북쪽),,7,0,,0,0,0,1
서울,구로구,고척교사거리(동단),,4,0,,0,0,0,2
서울,구로구,구로역사거리(2번출구 북쪽),,6,0,,0,1,0,0
서울,구로구,구로1동파출소 앞 삼거리,,6,0,,0,0,0,0
서울,금천구,시흥사거리(금천지구대 동쪽),,22,0,,1,1,0,0
서울,금천구,시흥3동우편택배취급국(북쪽),,5,0,,0,0,0,0
서울,금천구,서울금천우체국 사거리(북동),,10,1,,1,0,0,0
서울,금천구,독산동 991-18번지 사거리,,6,0,,0,0,0,0
서울,금천구,말미사거리(홈플러스 금천점),,12,0,,1,0,0,0
서울,금천구,마리오사거리(마리오아울렛 앞),,6,0,,0,0,0,0
서울,금천구,기아대교 동단 삼거리,,10,0,,1,0,0,0
서울,금천구,독산동군인아파트 삼거리(5동),,7,0,,3,0,0,1
서울,금천구,시흥5동주민센터 오거리(남쪽),,8,0,,0,0,0,0
서울,금천구,말미사거리(홈플러스 금천점),,6,0,,0,0,0,0
서울,금천구,시흥4동주민센터 부근(북서),,11,0,,1,0,0,0
서울,금천구,마리오사거리(마리오아울렛 앞),,3,0,,0,0,0,0
서울,금천구,문성지구대 사거리(남서),,5,0,,0,1,0,0
서울,금천구,홈플러스 시흥점 부근(남쪽),,8,0,,0,0,0,1
서울,금천구,디지털단지 오거리(가산파출소),,5,0,,0,1,0,0
서울,금천구,독산사거리(롯데마트 금천점),,5,1,,0,0,0,0
서울,금천구,문성지구대 삼거리(북서),,5,1,,0,0,0,0
서울,금천구,현대지식산업센터삼거리(남쪽),,7,0,,1,0,0,0
서울,금천구,시흥사거리(금천지구대 동쪽),,5,1,,2,0,0,0
서울,금천구,남부여성발전센터 부근(북서),,7,0,,0,0,0,0
서울,금천구,금천우체국사거리(남쪽),,7,0,,1,0,0,0
서울,금천구,금천교사거리(하안대교 서단),,6,0,,1,0,0,0
서울,금천구,시흥4동주민센터 삼거리(북서),,4,1,,1,0,0,0
서울,금천구,구로전화국사거리(KT구로 남쪽),,6,0,,1,1,0,1
서울,금천구,서울시흥초 삼거리(동쪽),,4,1,,2,0,0,0
서울,금천구,디지털3단지(롯데IT캐슬1동),,7,0,,0,0,0,0
서울,금천구,관악농협 삼거리,,4,0,,1,0,0,0
서울,금천구,남부여성발전센터 부근(북서),,5,0,,0,0,0,0
서울,금천구,관악농협신독산지점 앞 삼거리,,3,1,,1,0,0,0
서울,금천구,박미삼거리(백산초 북서),,4,0,,0,0,0,0
서울,노원구,창동교 동단 사거리,,19,0,,0,3,0,0
서울,노원구,중계역사거리,,12,1,,0,0,0,0
서울,노원구,태릉입구역 사거리(7호선),,14,0,,0,1,0,0
서울,노원구,중계경남아너스빌 앞(102동),,10,1,,0,2,0,1
서울,노원구,수락산역 부근(4번출구),,7,0,,0,1,0,0
서울,노원구,하계역 사거리,,12,0,,0,0,0,0
서울,노원구,공릉역 사거리,,11,0,,0,2,0,1
서울,노원구,롯데백화점 앞 사거리(상계2동),,8,1,,2,0,0,0
서울,노원구,신도2차아파트 부근 사거리(북동),,9,1,,0,0,0,0
서울,노원구,녹천교 동단 사거리,,10,0,,0,2,0,0
서울,노원구,불암현대아파트 부근(서북),서울특별시 노원구 덕릉로118길 27,10,0,,0,0,0,0
서울,노원구,화랑대사거리(공릉2치안센터),서울 노원구 노원로1길 2,9,0,,0,2,0,0
서울,노원구,인덕대학입구교차로,서울 노원구 초안산로 12,11,0,,0,2,0,1
서울,노원구,월계주공1단지(108동 서쪽),서울 노원구 월계로49길 5,4,0,,2,0,0,1
서울,노원구,공릉우성아파트 부근(서남),서울 노원구 동일로198길 24,10,0,,3,0,0,0
서울,노원구,중계근린공원 사거리(북쪽),서울 노원구 동일로 1229,6,0,,1,0,0,0
서울,노원구,상계2동주민센터 부근(남동),서울 노원구 상계로 118,10,0,,1,0,0,0
서울,노원구,하계역 사거리,서울 노원구 동일로 지하 1196,10,0,,0,1,0,0
서울,노원구,노일초 사거리(북동),서울특별시 노원구 동일로 1625,8,0,,1,0,0,0
서울,노원구,롯데백화점 앞 사거리(상계2동),서울 노원구 동일로 1413,9,0,,1,1,0,0
서울,노원구,대진고등학교 사거리,서울 노원구 공릉로62가길 47,10,0,,0,0,0,0
서울,노원구,수락산입구역 사거리(5번출구),서울 노원구 동일로 지하 1662,8,1,,1,0,0,0
서울,노원구,순복음노원교회 앞 삼거리,서울 노원구 노원로 440,7,0,,0,0,0,1
서울,노원구,메디아이여성병원 부근(북쪽),서울 노원구 노원로 448,9,0,,0,0,0,0
서울,노원구,두산아파트 앞 사거리(101동),서울 노원구 동일로241길 53,7,0,,1,1,0,0
서울,노원구,공릉초 부근 사거리(북쪽),서울 노원구 동일로173길 12,9,0,,0,1,0,1
서울,노원구,서울여대입구 삼거리(남쪽),서울 노원구 화랑로 621,3,0,,0,0,0,0
서울,노원구,노원구민회관교차로,서울 노원구 하계동,6,1,,1,0,0,1
서울,노원구,녹천중학교 부근 삼거리(서쪽),서울 노원구 월계로 376,7,0,,0,0,0,0
서울,노원구,상계역 삼거리(북쪽),서울 노원구 상계로 182,7,0,,1,1,0,0
서울,도봉구,창동고 앞 삼거리(북서),서울 도봉구 노해로62길 7,9,0,,1,1,0,0
서울,도봉구,우이교교차로(데시앙104동),서울 도봉구 창동,12,0,,1,0,0,0
서울,도봉구,창동시장입구(강북힘찬병원),서울 도봉구 창동 445-13,4,0,,0,0,0,0
서울,도봉구,삼성래미안2단지(202동 북쪽),서울 도봉구 도봉로150길 42,10,0,,0,0,0,0
서울,도봉구,쌍문파출소 사거리(남쪽),서울 도봉구 방학로3길 132,10,0,,0,1,0,0
서울,도봉구,창동역 사거리(1번출구 동쪽),서울 도봉구 마들로11길 77,7,0,,0,0,0,0
서울,도봉구,방학역삼거리(1번출구 남서),서울 도봉구 도봉로150다길 3,6,0,,2,0,0,0
서울,도봉구,서울오봉초 사거리(동쪽),서울 도봉구 시루봉로 285,5,1,,1,1,0,0
서울,도봉구,도봉역사거리(1번출구 앞),서울 도봉구 도봉로170길 2,6,0,,3,0,0,0
서울,도봉구,금호1차아파트 사거리(1동),서울 관악구 대학18길 6,4,0,,1,1,0,0
서울,도봉구,노원교교차로(서단),서울 도봉구 도봉동,7,0,,1,1,0,0
서울,도봉구,홈플러스 앞 사거리(방학점),서울 도봉구 도봉로 678,7,0,,1,0,0,0
서울,도봉구,도봉보건소 사거리(남쪽),서울 도봉구 방학로3길 117,6,0,,0,1,0,0
서울,도봉구,거성학마을아파트(101동),서울 도봉구 도당로 116,6,0,,0,1,0,0
서울,도봉구,창동현대1차 앞(101동),서울 도봉구 해등로16길 12,7,0,,1,0,0,0
서울,도봉구,도봉구민회관 앞 삼거리,서울 도봉구 도봉로 552,4,0,,1,0,0,0
서울,도봉구,서울숭미초 삼거리(남쪽),서울 도봉구 노해로 179,5,0,,0,0,0,0
서울,도봉구,도봉산역 부근 삼거리(남쪽),서울 도봉구 도봉로 948,5,0,,0,0,0,0
서울,도봉구,반석교회 앞 삼거리,서울 구로구 도림로20길 40,4,1,,0,0,0,0
서울,도봉구,중흥S클래스삼거리(101동),서울 도봉구 도봉로180가길 32,5,0,,0,0,0,0
서울,도봉구,서울북부지방법원 삼거리(동쪽),서울 도봉구 마들로 749,3,1,,0,1,0,0
서울,도봉구,녹천교 서단 사거리,서울 도봉구 창동,7,0,,0,2,0,0
서울,도봉구,창원초교사거리(남동),서울 도봉구 해등로 103,3,0,,1,0,0,0
서울,도봉구,도봉산역 삼거리(1번출구),서울 도봉구 도봉로 948,4,0,,0,0,0,1
서울,도봉구,양효안공신도비부묘소 앞 삼거리,서울 도봉구 방학동 63-1,4,0,,1,0,0,0
서울,도봉구,도봉경찰서 사거리(남동),서울 도봉구 노해로 403,5,0,,1,0,0,0
서울,도봉구,수유교 남단 사거리,서울 도봉구 쌍문동,4,0,,0,0,0,0
서울,도봉구,도봉1치안센터 사거리(북쪽),서울 도봉구 도봉로169나길 4,5,0,,1,0,0,0
서울,도봉구,쌍문역 1번출구 부근(북쪽),서울 도봉구 도봉로 지하 486-1,5,0,,1,1,0,0
서울,도봉구,청한빌라 앞(이마트 쌍문동점),서울 도봉구 해등로 373,3,0,,0,0,0,0
서울,동대문구,경동시장사거리(동의보감타워),서울 동대문구 고산자로36길 3,21,1,,3,1,0,0
서울,동대문구,용두1치안센터 사거리(동쪽),서울특별시 동대문구 왕산로 95,17,0,,1,0,0,0
서울,동대문구,청량리역 교차로,서울 동대문구 왕산로 214,16,1,,1,1,0,0
서울,동대문구,장안동사거리(프리머스 시네마),서울 동대문구 장안동,13,1,,2,1,0,1
서울,동대문구,청량리역 부근 삼거리(서쪽),서울 동대문구 왕산로 214,18,0,,0,0,0,0
서울,동대문구,삼육보건대 사거리(북서),서울 동대문구 망우로 82,12,1,,2,0,0,0
서울,동대문구,성바오로병원 교차로(북서),서울 동대문구 제기동,19,0,,6,0,0,0
서울,동대문구,경동시장 앞 삼거리(동서울빌딩),서울 동대문구 제기동,11,1,,1,1,0,0
서울,동대문구,휘경2동주민센터 앞 삼거리,서울 동대문구 한천로 329,11,0,,2,2,0,0
서울,동대문구,농협 앞 교차로(제기동점),서울특별시 동대문구 제기동 1015,13,0,,1,1,0,0
서울,동대문구,신설동역사거리(동대문우체국),서울 동대문구 천호대로 4,13,0,,2,0,0,0
서울,동대문구,제기동 433-5번지 사거리,서울 동대문구 제기동 433-5,13,0,,2,2,0,0
서울,동대문구,지방경찰청정비창 앞 교차로,지방경찰청정비창 앞 교차로,12,0,,1,1,0,0
서울,동대문구,도시철도공사 앞 사거리,서울 동대문구 장안동,11,0,,0,0,0,0
서울,동대문구,동원빌딩 앞 삼거리,서울 동대문구 망우로 19,8,1,,0,0,0,0
서울,동대문구,촬영소사거리(풍안시장 앞),서울 동대문구 한천로 123,11,0,,3,0,0,0
서울,동대문구,성바오로병원 교차로(북서),서울 동대문구 제기동,8,0,,1,1,0,0
서울,동대문구,이슬어린이공원 부근 삼거리,서울 동대문구 장안1동 190-62,6,2,,1,2,0,0
서울,동대문구,개운산입구교차로(고려대),서울 성북구 종암동,8,0,,1,0,0,0
서울,동대문구,휘경센트레빌 사거리(101동 북서),서울 동대문구 외대역동로 14,11,0,,0,1,0,1
서울,동대문구,휘경119안전센터 앞 삼거리,서울 동대문구 망우로 106,7,0,,1,0,0,0
서울,동대문구,홍파초 앞 사거리,서울 동대문구 고산자로 518,9,1,,0,0,0,1
