"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"송정동서울숲아이파크(103동)","서울 성동구 동일로 237","5","0","","1","0","0","0"
"군자역 사거리","서울 광진구 능동 275-5","7","0","","1","0","0","1"
"중곡사거리(광진구정신보건센터)","서울 광진구 용마산로 55-2","7","0","","0","0","0","0"
"우편취급소 앞 사거리","서울 광진구 광장로 80","9","0","","0","0","0","0"
"구의사거리(어린이대공원)","서울 광진구 구의동 234-21","7","0","","0","0","0","0"
"동양파라곤 앞(101동)","서울 광진구 군자동 346-42","6","0","","1","0","0","0"
"이마트 앞 삼거리(자양점)","서울 광진구 자양동 227-341","4","0","","1","0","0","0"
"군자역 사거리(서쪽)","서울 광진구 능동 275-5","6","0","","0","0","0","0"
"광장극동2차 삼거리(15동 북쪽)","서울 광진구 광장동 218-1","3","0","","0","0","0","0"
"성수119안전센터 앞 사거리","서울 성동구 성수동2가 231-24","7","0","","0","0","0","0"
"역어린이대공원역(4번출구)","서울 광진구 능동로 지하 210","9","0","","0","0","0","0"
"자양동우체국 사거리(서쪽)","서울 광진구 자양동 730","5","0","","0","1","0","0"
"우성2차 앞 사거리(202동)","서울 광진구 자양번영로 43-2","5","0","","1","0","0","0"
"성수사거리(청정아파트)","서울 광진구 화양동 50-7","6","0","","3","0","0","0"
"비츠로빌딩 앞 교차로","서울 광진구 군자동 46-3","6","0","","0","0","0","0"
"화양사거리","서울 성동구 성수동2가 281-31","6","0","","1","1","0","1"
"군자동 노상","서울 광진구 중곡동 150-196","4","0","","1","0","0","0"
"어린이대공원 부근(북동)","서울 광진구 능동로 216","4","0","","2","0","0","0"
"어린이대공원 부근(북동)","서울 광진구 능동로 216","4","0","","0","0","0","0"
"서울화양초 삼거리(남동)","서울 광진구 화양동 12-63","4","0","","0","0","0","1"
"자양동 45-23번지 삼거리","서울 광진구 자양동 45-5","4","0","","0","0","0","0"
"건국대 생명고학관 앞","서울특별시 광진구 능동로 120","6","0","","0","0","0","0"
"삼성제약빌딩 앞 삼거리","서울특별시 광진구 중곡동 614-4","3","0","","0","0","0","0"
"광진구청 사거리(북동)","서울 광진구 자양로 125-2","4","0","","0","0","0","0"
"중곡동","서울 광진구 중곡동 150-329","2","1","","0","0","0","0"
"디지털단지 오거리(가산파출소)","서울 금천구 가산동 127-34","20","0","","0","0","0","1"
"시티월드 삼거리(서쪽)","서울 금천구 가산동 127-34","11","0","","1","0","0","1"
"거리공원오거리(신구로현대)","서울 구로구 구로동 68-1","10","1","","1","2","0","0"
"대륭포스트타워5차 앞(북쪽)","서울특별시 금천구 디지털로9길 68","12","0","","1","2","0","0"
"디지털단지입구(미성1동 동쪽)","서울 관악구 시흥대로 554","9","0","","0","1","0","0"
"구로소방서교차로(북쪽)","서울 구로구 경인로 429-1","10","0","","1","1","0","2"
"개봉사거리(경인중 남동)","서울 구로구 경인로 321-1","8","1","","1","1","0","0"
"고척교사거리(동단)","서울 구로구 고척동 63-3","12","0","","1","0","0","0"
"남구로역 삼거리(3번출구)","서울 구로구 도림로 20","11","0","","0","0","0","0"
"에이케이플라자 앞(구로점)","서울 구로구 새말로 2-1","7","0","","0","1","0","0"
"거리공원입구(신도림SK뷰)","서울 구로구 신도림동 360-15","8","0","","0","1","0","0"
"한일유앤아이앞교차로","서울 금천구 가산동 481-12","9","0","","0","0","0","0"
"치킨아리아","서울특별시 구로구 경인로 661","4","0","","0","0","0","0"
"구로교 남단 사거리","서울 구로구 시흥대로 583-2","6","0","","0","0","0","0"
"오류동역앞 삼거리(3번출구)","서울 구로구 오류동 332-5","7","0","","3","1","0","0"
"구로구청 앞 사거리(동쪽)","서울 구로구 가마산로 241-1","6","1","","1","0","0","0"
"영화아파트 삼거리(101동)","서울 구로구 개봉동 174-1","7","0","","0","0","0","0"
"삼호아파트 앞 사거리(102동)","서울 구로구 개봉동 403-10","7","0","","2","1","0","0"
"예성라온팰리스 삼거리(102동)","서울 구로구 경인로 248-14","6","0","","0","0","0","1"
"구로1교 교차로(남단)","서울 구로구 구로동 179-91","8","0","","0","0","0","0"
"오류고 사거리(남쪽)","서울 구로구 오리로23길 14-47","3","2","","0","0","0","1"
"경인중 삼거리(서쪽)","서울 구로구 개봉동 154-92","6","0","","1","0","0","0"
"오금교 남단 사거리","서울 양천구 신정동 330-8","6","0","","1","0","0","1"
"한신휴아파트 사거리(105동)","서울 구로구 디지털로31길 120","8","0","","0","2","0","0"
"미성아파트 사거리(1동 북서)","서울 구로구 구로동 614-63","7","0","","0","0","0","0"
"구로리어린이공원 사거리(북쪽)","서울 구로구 구로동 139-81","7","0","","1","0","0","0"
"오남중 부근 사거리(북쪽)","서울 구로구 오리로9길 25","7","0","","0","0","0","1"
"고척교사거리(동단)","서울 구로구 고척동 63-3","4","0","","0","0","0","2"
"구로역사거리(2번출구 북쪽)","서울 구로구 구로동 602-3","6","0","","0","1","0","0"
"구로1동파출소 앞 삼거리","서울 구로구 구로동 685-224","6","0","","0","0","0","0"
"시흥사거리(금천지구대 동쪽)","서울 금천구 시흥동 1000-48","22","0","","1","1","0","0"
"시흥3동우편택배취급국(북쪽)","서울 금천구 시흥동 1001-16","5","0","","0","0","0","0"
"서울금천우체국 사거리(북동)","서울 금천구 독산동 287-8","10","1","","1","0","0","0"
"독산동 991-18번지 사거리","서울 금천구 독산동 995-9","6","0","","0","0","0","0"
"말미사거리(홈플러스 금천점)","서울 금천구 독산동 292-25","12","0","","1","0","0","0"
"마리오사거리(마리오아울렛 앞)","서울 금천구 가산동 60-35","6","0","","0","0","0","0"
"기아대교 동단 삼거리","서울 금천구 시흥동 1001-29","10","0","","1","0","0","0"
"독산동군인아파트 삼거리(5동)","서울 금천구 독산동 1152","7","0","","3","0","0","1"
"시흥5동주민센터 오거리(남쪽)","서울 금천구 시흥동 1000-123","8","0","","0","0","0","0"
"말미사거리(홈플러스 금천점)","서울 금천구 독산동 292-25","6","0","","0","0","0","0"
"시흥4동주민센터 부근(북서)","서울 금천구 시흥동 1000-25","11","0","","1","0","0","0"
"마리오사거리(마리오아울렛 앞)","서울 금천구 가산동 60-35","3","0","","0","0","0","0"
"문성지구대 사거리(남서)","서울 금천구 독산동 189-36","5","0","","0","1","0","0"
"홈플러스 시흥점 부근(남쪽)","서울 금천구 시흥동 992-47","8","0","","0","0","0","1"
