지역구,지점명,도로명,중앙선침범,신호위반,안전거리미확보,불법유턴,과속,안전운전불이행,교차로위반,보행자보호위반,차로위반,직진우회전방해,기타,합계
성동구,성수역 1번출구 삼거리,서울 성동구 성수동2가 289-30,1,0,3,0,0,1,0,0,0,0,1,6
성동구,상왕십리역 2번출구 삼거리,서울 성동구 도선동 417,0,4,0,0,0,2,0,0,0,1,0,7
성동구,성수1치안센터(서쪽),서울 성동구 뚝섬로 364-1,0,3,0,0,0,3,0,0,0,0,0,6
성동구,마장역 1번출구 앞 삼거리,서울 성동구 마장동 804,0,2,0,0,0,4,0,0,0,0,0,6
성동구,하왕십리치안센터 앞 사거리,서울 성동구 왕십리로 341,0,1,0,0,0,3,0,0,0,0,1,5
성동구,금호사거리(금호4가우체국),서울 성동구 금호동4가,0,1,0,0,0,4,0,0,0,0,0,5
성동구,서울성수초 사거리(남쪽),서울 성동구 아차산로17길 21,0,2,0,0,1,1,0,0,0,0,0,4
성동구,동부간선도로(동아그린아파트 부근),서울 성동구 상원길 76,0,0,3,0,0,1,0,0,0,0,0,4
성동구,울서울숲입구(한진타운아파트 앞),서울 성동구 뚝섬로 310,0,2,0,0,0,3,0,0,0,0,1,6
성동구,성원중 사거리(동쪽),서울 성동구 성덕정9가길 13,0,0,0,0,0,3,1,0,0,0,0,4
성동구,뉴타운아파트 부근 사거리,서울 성동구 왕십리로 391,1,0,1,0,0,4,0,0,0,0,0,6
성동구,고산자교 남단 사거리,서울 성동구 마장동,0,2,1,0,0,1,2,2,0,0,0,8
성동구,마장동우체국 앞 삼거리,서울 성동구 고산자로 352,0,1,1,0,0,3,0,0,0,0,0,5
성동구,서울숲푸르지오 앞(101동),서울 성동구 금호로 15,0,1,1,0,0,1,0,0,0,0,0,3
성동구,서울숲지구대 사거리(동쪽),서울 성동구 성덕정길 77-2,0,0,0,0,0,1,0,3,0,0,0,4
성북구,길음역 부근(북쪽),서울 성북구 동소문로 지하 248,1,8,1,0,0,6,2,1,1,0,1,21
성북구,종암경찰서 삼거리(남동),서울 성북구 화랑로7길 32,1,1,1,0,0,8,2,2,0,0,1,16
성북구,돈암1동주민센터 부근(서쪽),서울 성북구 정릉로48길 35,0,3,3,0,0,8,1,0,1,0,0,16
성북구,종암사거리(성북소방서),서울 성북구 종암로27길 3,0,7,5,0,0,6,0,1,0,0,0,19
성북구,성북구청입구(성북경찰서),서울 성북구 보문로 170,0,2,0,0,0,3,0,0,0,0,3,8
성북구,돌곶이역(3번출구),서울 성북구 장위동 64-100,0,2,0,0,0,3,0,0,0,0,3,8
성북구,월곡2치안센터 부근(북쪽),서울 성북구 화랑로 98,0,3,3,0,0,4,0,2,0,0,0,12
성북구,한성대입구역 사거리,서울 성북구 삼선교로 지하 1,1,5,0,0,0,6,0,0,0,0,0,12
성북구,정릉시장 부근(동쪽),서울 성북구 정릉동 980,0,1,0,0,0,7,0,0,0,0,0,8
성북구,성북우체국 부근(서쪽),서울 성북구 동소문로 310,0,1,4,0,0,5,0,0,1,0,0,11
성북구,성북구청 부근(남동),서울 성북구 보문로 168,0,4,0,0,0,2,1,0,0,0,0,7
성북구,성북동 주민센터 부근(남쪽),서울 성북구 성북로 37,0,3,0,0,0,4,0,1,0,0,1,9
성북구,장위사거리(석관동주민센터),서울 성북구 화랑로 296,0,1,1,0,0,4,0,2,1,0,0,9
성북구,성신여대입구역 부근(동쪽),서울 성북구 동소문로 지하 102,0,0,3,0,0,6,0,0,0,0,0,9
성북구,성신여대입구역 사거리,서울 성북구 동소문로 지하 102,0,1,0,0,0,7,0,0,0,0,1,9
성북구,정릉입구(정릉2동주민센터),서울 성북구 정릉로26길 1,0,1,0,0,0,7,0,0,1,0,0,9
성북구,숭례초 삼거리(남동),서울 성북구 종암로5길 14,0,0,3,0,0,5,0,0,0,0,0,8
성북구,성북구 보건소 부근(서쪽),서울 성북구 화랑로 63,0,2,1,0,0,4,0,1,0,0,0,8
성북구,길음119 앞 삼거리,서울 성북구 정릉로 321,0,2,0,0,0,5,0,1,0,0,0,8
성북구,종암동주민센터 부근(북서),서울특별시 성북구 종암로 98-8,0,2,0,0,0,6,0,1,0,0,0,9
성북구,길음교교차로(길음시장),서울특별시 성북구 동소문로 227,0,0,2,0,0,4,0,0,1,0,0,7
성북구,한신아파트 앞(113동),서울특별시 성북구 성북로4길 52,3,1,1,0,0,2,0,0,0,0,0,7
성북구,돈암우체국 앞 사거리,서울특별시 성북구 삼선동4가 352-1,0,2,1,0,0,4,0,0,0,0,0,7
성북구,정릉동 303-13번지,서울특별시 성북구 정릉동 303-13,0,0,0,0,0,4,0,1,0,0,1,6
성북구,방천시장 입구(창문여고),서울특별시 강북구 월계로 61,1,4,0,0,0,1,1,0,0,0,0,7
성북구,브라운스톤동선아파트 부근(동쪽),서울특별시 성북구 아리랑로5길 25,0,1,0,0,0,4,0,1,0,0,0,6
성북구,종암동SK아파트 부근(101동),서울특별시 성북구 종암로24가길 53,0,2,3,0,0,2,0,1,0,0,0,8
성북구,석관동 322-2번지,서울특별시 성북구 석관동 322-3,0,0,0,0,0,4,1,0,0,0,2,7
성북구,길음동부센트레빌(101동 서쪽),서울 성북구 숭인로2길 61,0,2,0,0,0,1,0,0,0,0,1,4
성북구,월곡역(3번출구),서울 성북구 하월곡동 37-6,0,0,2,0,0,2,0,2,0,0,1,7
성북구,월곡역(3번출구),서울 성북구 하월곡동 37-6,0,1,1,0,0,0,0,1,1,0,0,4
송파구,송파구청사거리(구청 앞),서울특별시 송파구 올림픽로 326,2,6,2,0,0,7,1,1,0,0,1,20
송파구,가락시장앞사거리(가락시장역),서울 송파구 가락동 184-23,1,3,5,0,0,6,0,1,0,0,0,16
송파구,잠실역 사거리(2호선),서울특별시 송파구 신천동 7-18 번지,0,1,3,0,0,7,1,0,0,0,0,12
송파구,송파세무서 앞 오거리,서울특별시 송파구 강동대로 62,0,5,1,0,0,7,1,1,1,0,0,16
송파구,KB국민은행 삼전남지점(동쪽),서울특별시 송파구 백제고분로 196,0,5,3,0,0,6,0,0,1,0,0,15
송파구,송파1동우체국(서쪽),서울 송파구 백제고분로42길 5,0,4,2,0,0,4,0,1,0,0,0,11
송파구,장지교교차로(송파IC),서울 송파구 장지동 245-15,0,1,3,0,0,10,1,0,0,0,0,15
송파구,석촌호수 사거리(북쪽),서울 송파구 잠실동 42,0,7,1,0,0,4,0,0,0,0,0,12
송파구,송파사거리(잠실여고 서쪽),서울 송파구 송파동 2-12,0,2,2,0,0,7,0,0,0,0,0,11
